Year,Month,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,5,0.0,0.0,17.0,0.0,0.0
2008,6,0.0,0.0,14.0,0.0,83.0
2008,6,1.0,0.0,0.0,0.0,21.0
2008,2,0.0,0.0,0.0,0.0,28.0
2008,4,55.0,0.0,15.0,0.0,0.0
2008,4,7.0,0.0,25.0,0.0,21.0
2008,3,0.0,0.0,14.0,0.0,5.0
2008,5,0.0,0.0,130.0,0.0,0.0
2008,9,66.0,0.0,0.0,0.0,0.0
2008,6,57.0,0.0,22.0,0.0,0.0
2008,4,0.0,0.0,34.0,0.0,0.0
2008,1,8.0,0.0,29.0,0.0,2.0
2008,3,8.0,0.0,0.0,0.0,72.0
2008,7,0.0,0.0,19.0,0.0,0.0
2008,9,17.0,0.0,0.0,0.0,0.0
2008,12,0.0,0.0,21.0,0.0,0.0
2008,12,8.0,0.0,7.0,0.0,25.0
2008,10,0.0,0.0,31.0,0.0,0.0
2008,2,0.0,0.0,5.0,0.0,23.0
2008,7,0.0,0.0,27.0,0.0,16.0
2008,1,0.0,0.0,37.0,0.0,0.0
2008,1,0.0,0.0,16.0,0.0,0.0
2008,3,0.0,0.0,11.0,0.0,65.0
2008,10,0.0,0.0,24.0,0.0,0.0
2008,1,21.0,0.0,0.0,0.0,0.0
2008,3,35.0,0.0,13.0,0.0,0.0
2008,8,1.0,0.0,28.0,0.0,17.0
2008,8,0.0,0.0,75.0,0.0,0.0
2008,6,0.0,0.0,15.0,0.0,0.0
2008,7,0.0,38.0,18.0,0.0,0.0
2008,9,0.0,0.0,51.0,0.0,0.0
2008,2,8.0,0.0,4.0,0.0,12.0
2008,6,0.0,0.0,0.0,0.0,21.0
2008,9,0.0,70.0,2.0,0.0,0.0
2008,2,0.0,0.0,24.0,0.0,0.0
2008,1,0.0,0.0,32.0,0.0,0.0
2008,6,0.0,0.0,0.0,0.0,44.0
2008,6,57.0,0.0,24.0,0.0,0.0
2008,9,0.0,0.0,41.0,0.0,0.0
2008,1,0.0,0.0,7.0,0.0,22.0
2008,2,48.0,0.0,0.0,0.0,0.0
2008,3,0.0,0.0,55.0,0.0,12.0
2008,3,3.0,0.0,9.0,0.0,8.0
2008,2,0.0,0.0,0.0,0.0,24.0
2008,12,0.0,3.0,0.0,0.0,34.0
2008,7,0.0,0.0,0.0,0.0,63.0
2008,8,0.0,0.0,112.0,0.0,0.0
2008,10,25.0,0.0,0.0,0.0,0.0
2008,9,18.0,0.0,0.0,0.0,0.0
2008,1,101.0,0.0,26.0,0.0,0.0
2008,6,0.0,0.0,0.0,0.0,112.0
2008,7,32.0,0.0,4.0,0.0,0.0
2008,7,34.0,0.0,0.0,0.0,0.0
2008,5,7.0,0.0,12.0,0.0,0.0
2008,4,47.0,0.0,38.0,0.0,59.0
2008,12,14.0,0.0,4.0,0.0,11.0
2008,1,0.0,0.0,6.0,0.0,38.0
2008,12,0.0,0.0,23.0,0.0,36.0
2008,12,48.0,0.0,0.0,0.0,0.0
2008,10,0.0,0.0,0.0,0.0,42.0
2008,11,10.0,0.0,14.0,0.0,0.0
2008,3,61.0,0.0,0.0,0.0,0.0
2008,10,37.0,0.0,11.0,0.0,0.0
2008,8,0.0,0.0,6.0,0.0,13.0
2008,5,51.0,0.0,0.0,0.0,0.0
2008,1,0.0,0.0,155.0,0.0,0.0
2008,1,0.0,0.0,22.0,0.0,0.0
2008,1,19.0,0.0,0.0,0.0,0.0
2008,6,0.0,0.0,5.0,0.0,69.0
2008,6,0.0,0.0,72.0,0.0,0.0
2008,3,0.0,0.0,115.0,0.0,0.0
2008,3,90.0,0.0,0.0,0.0,0.0
2008,6,0.0,0.0,35.0,0.0,0.0
2008,5,9.0,0.0,7.0,0.0,48.0
2008,12,25.0,0.0,0.0,0.0,0.0
2008,5,1.0,0.0,0.0,0.0,18.0
2008,5,0.0,0.0,99.0,0.0,17.0
2008,12,30.0,0.0,0.0,0.0,0.0
2008,12,11.0,0.0,8.0,0.0,18.0
2008,2,7.0,0.0,76.0,0.0,36.0
2008,4,0.0,0.0,0.0,0.0,54.0
2008,4,49.0,0.0,0.0,0.0,0.0
2008,2,56.0,0.0,0.0,0.0,0.0
2008,5,0.0,0.0,10.0,0.0,24.0
2008,12,0.0,0.0,10.0,0.0,6.0
2008,8,0.0,0.0,17.0,0.0,0.0
2008,12,28.0,0.0,0.0,0.0,0.0
2008,6,105.0,0.0,5.0,0.0,0.0
2008,6,0.0,0.0,0.0,0.0,48.0
2008,2,0.0,26.0,19.0,0.0,0.0
2008,8,0.0,0.0,43.0,0.0,0.0
2008,12,0.0,0.0,0.0,0.0,19.0
2008,12,25.0,0.0,0.0,0.0,0.0
2008,3,0.0,0.0,3.0,0.0,30.0
2008,5,7.0,0.0,0.0,0.0,50.0
2008,7,0.0,0.0,0.0,0.0,23.0
2008,5,0.0,0.0,21.0,0.0,0.0
2008,4,115.0,0.0,0.0,0.0,0.0
2008,12,55.0,0.0,31.0,0.0,45.0
2008,7,0.0,0.0,18.0,0.0,0.0
2008,5,0.0,0.0,30.0,0.0,0.0
2008,8,0.0,0.0,0.0,0.0,20.0
2008,6,0.0,0.0,38.0,0.0,15.0
2008,5,0.0,0.0,63.0,0.0,0.0
2008,1,50.0,0.0,0.0,0.0,0.0
2008,5,7.0,0.0,0.0,0.0,47.0
2008,12,0.0,0.0,33.0,0.0,3.0
2008,9,0.0,0.0,0.0,0.0,65.0
2008,12,6.0,0.0,0.0,0.0,99.0
2008,7,35.0,0.0,0.0,0.0,0.0
2008,7,0.0,0.0,17.0,0.0,0.0
2008,4,0.0,0.0,5.0,0.0,23.0
2008,12,0.0,132.0,7.0,0.0,0.0
2008,5,59.0,0.0,0.0,0.0,0.0
2008,8,0.0,0.0,15.0,0.0,0.0
2008,4,7.0,0.0,48.0,0.0,3.0
2008,3,10.0,0.0,8.0,0.0,0.0
2008,12,0.0,52.0,0.0,0.0,0.0
2008,6,15.0,0.0,2.0,0.0,0.0
2008,4,0.0,0.0,8.0,0.0,54.0
2008,9,131.0,0.0,0.0,0.0,0.0
2008,4,0.0,0.0,22.0,0.0,0.0
2008,4,1.0,0.0,10.0,0.0,13.0
2008,1,24.0,0.0,0.0,0.0,0.0
2008,2,0.0,0.0,10.0,0.0,63.0
2008,4,0.0,0.0,25.0,0.0,0.0
2008,8,33.0,0.0,0.0,0.0,0.0
2008,2,0.0,0.0,2.0,0.0,116.0
2008,3,0.0,0.0,0.0,0.0,43.0
2008,6,8.0,0.0,12.0,0.0,0.0
2008,3,20.0,0.0,0.0,0.0,19.0
2008,1,50.0,0.0,16.0,0.0,0.0
2008,4,0.0,0.0,0.0,0.0,20.0
2008,6,10.0,0.0,4.0,0.0,13.0
2008,4,25.0,0.0,0.0,0.0,0.0
2008,2,0.0,0.0,3.0,0.0,55.0
2008,5,0.0,0.0,3.0,0.0,33.0
2008,3,15.0,0.0,0.0,0.0,4.0
2008,3,0.0,0.0,36.0,0.0,0.0
2008,5,0.0,0.0,8.0,0.0,13.0
2008,6,7.0,0.0,0.0,0.0,31.0
2008,8,7.0,0.0,0.0,0.0,26.0
2008,9,32.0,0.0,0.0,0.0,0.0
2008,6,0.0,0.0,15.0,0.0,0.0
2008,5,1.0,0.0,1.0,0.0,15.0
2008,12,18.0,0.0,12.0,0.0,0.0
2008,3,0.0,0.0,0.0,0.0,31.0
2008,4,6.0,0.0,10.0,0.0,0.0
2008,8,0.0,0.0,25.0,0.0,0.0
2008,6,0.0,0.0,21.0,0.0,0.0
2008,6,0.0,0.0,17.0,0.0,0.0
2008,8,11.0,0.0,0.0,0.0,5.0
2008,3,0.0,0.0,137.0,0.0,0.0
2008,3,0.0,0.0,46.0,0.0,0.0
